post,regiao
Eu não gostei do Nike 360. Ele é uma porcaria!,norte
Amei o Nike Sin Shox!! Vou correr todos os dias agora!! haha,norte
Amei o Nike Sin Shox!! Vou correr todos os dias agora!! haha,norte
Nike 360 é muito quente! Não recomendo!,nordeste
Amei o Nike Sin Shox!! Vou correr todos os dias agora!! haha,nordeste
Nike 360 é o pior sapato que tem! Não comprem! ,nordeste
Eu não gostei do Nike 360. Ele é uma porcaria!,sul
O Nike 360 é muito ruim! Eu realmente não gostei,sul
O Nike 360 é muito ruim! Serio!!! #triste,sul
Nike 360 é muito quente! Não recomendo!,suldeste
Nike 360 é o pior sapato que tem! Não comprem! ,suldeste
Nike 360 é o pior sapato que existe! Muito ruim!,norte
Nike Sin Shox é um otimo sapato! Recomendo!,norte
Nike Sin Shox foi minha melhorar compra! ,norte
Amei o Nike Sin Shox!! Vou correr todos os dias agora!! haha,norte
Nike Sin Shox é um otimo sapato! Super Recomendo!,nordeste
Não gostei do Nike Sin Shox! ,sul
Nike Sin Shox foi minha melhorar compra! ,nordeste
Amei o Nike Sin Shox!! Vou correr todos os dias agora!! otimo!!,nordeste
Nike Sin Shox é um otimo sapato! Recomendo!,sul
Nike Sin Shox foi minha melhorar compra! ,sul
Amei o Nike Sin Shox!! Vou correr todos os dias agora!! haha,sul
Nike Sin Shox é um otimo sapato! Recomendo!,suldeste
Nike Sin Shox foi minha melhorar compra! ,suldeste
Amei o Nike Sin Shox!! Vou correr todos os dias agora!! haha,suldeste
Casual Beu gostei muito! excelente sapato!,nordeste
Casual Beu é um otimo sapato! Realmente gostei!,nordeste
Casual Beu é um otimo sapato! Realmente gostei!,nordeste
Casual Beu é um otimo sapato! Realmente gostei!,norte
Casual Beu é um otimo sapato! Realmente gostei!,norte
Casual Beu é um otimo sapato! Excelente sapatoi!,norte
Sinto frio usando o Casual Beu! Não gostei!,sul
Sinto frio usando o Casual Beu! Não recomendo!,sul
Não recomendo o Casual Beu! ,sul
gostei do Casual Beu!!!!,norte
gostei do Casual Beu!!!!,norte 
gostei do Casual Beu!!!!,norte
Gostei muito do Casual Nyx!! excelente sapato!,sul
Gostei muito do Casual Nyx!! excelente sapato!,sul
Gostei muito do Casual Nyx!! excelente sapato!,sul
Melhor sapato!! Casual Nyx ,suldeste
Melhor sapato!! Casual Nyx ,suldeste 
Melhor sapato!! Casual Nyx ,suldeste
Que delicia de sapato esse Casual Nyx!!! Que otimo sapato,sul
Que delicia de sapato esse Casual Nyx!!! Que otimo sapato,sul
muito bom esse Casual Nyx!!! ,sul
Não gostei do Casual Nyx. Que sapato ruim!,norte
muito bom esse Casual Nyx!!! ,suldeste
Não gostei do Casual Nyx. Muito ruim esse sapato!,nordeste
Amei o Nike Sin Shox!! Vou correr todos os dias agora!! haha,suldeste
Amei o Nike Sin Shox!! Vou correr todos os dias agora!! haha,suldeste
